pert,target_var,pct_change,status,knockdown_ok
ECD,ECD,-89.04637145996094,ok,True
ECT2,ECT2,-76.89923095703125,ok,True
EDC4,EDC4,-75.60767364501953,ok,True
EEF1A1,EEF1A1,-60.53181457519531,ok,True
EEF1B2,EEF1B2,-88.80431365966797,ok,True
EEF1G,EEF1G,-96.86187744140625,ok,True
EEF2,EEF2,-76.18727111816406,ok,True
EFTUD2,EFTUD2,-46.82830810546875,ok,True
EGLN2,EGLN2,-48.48471450805664,ok,True
EIF1,EIF1,-88.85719299316406,ok,True
EIF1AD,EIF1AD,-90.4540023803711,ok,True
EIF1AX,EIF1AX,-79.35932159423828,ok,True
EIF2B1,EIF2B1,-92.56777954101562,ok,True
EIF2B2,EIF2B2,-85.76311492919922,ok,True
EIF2B3,EIF2B3,-94.70286560058594,ok,True
EIF2B4,EIF2B4,-80.48725128173828,ok,True
EIF2B5,EIF2B5,-82.70761108398438,ok,True
EIF2S1,EIF2S1,-89.67276763916016,ok,True
EIF2S2,EIF2S2,-68.61219024658203,ok,True
EIF2S3,EIF2S3,-89.15538787841797,ok,True
EIF3A,EIF3A,-77.20557403564453,ok,True
EIF3B,EIF3B,-76.07548522949219,ok,True
EIF3CL,,,target_not_measured,False
EIF3D,EIF3D,-85.45330810546875,ok,True
EIF3E,EIF3E,-81.56309509277344,ok,True
EIF3F,EIF3F,-71.45012664794922,ok,True
EIF3G,EIF3G,-83.4298095703125,ok,True
EIF3H,EIF3H,-93.03289031982422,ok,True
EIF3I,EIF3I,-78.9308090209961,ok,True
EIF3J,EIF3J,-95.24596405029297,ok,True
EIF3L,EIF3L,-95.33855438232422,ok,True
EIF3M,EIF3M,-89.04961395263672,ok,True
EIF4A1,EIF4A1,-83.72624206542969,ok,True
EIF4B,EIF4B,-92.50009155273438,ok,True
EIF4E,EIF4E,-94.91361236572266,ok,True
EIF4G1,EIF4G1,-83.5871353149414,ok,True
EIF4G2,EIF4G2,-71.15312194824219,ok,True
EIF5,EIF5,-65.91918182373047,ok,True
EIF5A,EIF5A,-76.22179412841797,ok,True
EIF6,EIF6,-90.13741302490234,ok,True
ELAC2,ELAC2,-94.29772186279297,ok,True
ELL,ELL,-81.9336166381836,ok,True
ELOVL1,ELOVL1,-95.38274383544922,ok,True
ELP2,ELP2,-83.29802703857422,ok,True
ELP3,ELP3,-93.678466796875,ok,True
ELP5,ELP5,-85.10953521728516,ok,True
